순번(NO),업종,코드,세부업종,카드사용금액,모바일사용액,지류상품권사용액,사용비율
1,일반휴게음식,8001,일반한식,16448729007,해당없음,해당없음,17.17
2,학원,5105,보습학원,7922844605,해당없음,해당없음,8.27
3,학원,5104,예 체능계학원 ,5260675040,해당없음,해당없음,5.49
4,의원,7020,의원,4325244393,해당없음,해당없음,4.52
5,유통업 영리,4010,편 의 점,4158802301,해당없음,해당없음,4.34
6,일반휴게음식,8006,서양음식,3658935144,해당없음,해당없음,3.82
7,학원,5101,외국어학원,3273908463,해당없음,해당없음,3.42
8,의원,7022,치과의원,3181922015,해당없음,해당없음,3.32
9,약국,7041,약국,2812723994,해당없음,해당없음,2.94
10,일반유통,6101,편의점,2702868673,해당없음,해당없음,2.82
11,보건위생,7102,미용원,2647455015,해당없음,해당없음,2.76
12,음료식품,8310,농 축 수산품,2564627473,해당없음,해당없음,2.68
13,유통업 영리,4020,슈퍼마켓,2228043218,해당없음,해당없음,2.33
14,음료식품,8302,정육점,2159750513,해당없음,해당없음,2.25
15,일반휴게음식,8021,스넥,2122923109,해당없음,해당없음,2.22
16,연료판매점,3305,SK주유소,1928558751,해당없음,해당없음,2.01
17,회원제형태,9305,학원,1912418425,해당없음,해당없음,2
18,일반휴게음식,8005,중국식,1683446943,해당없음,해당없음,1.76
19,음료식품,8399,기타음료식품,1616493588,해당없음,해당없음,1.69
20,레저업소,2114,헬스클럽,1361486682,해당없음,해당없음,1.42
21,기타,5,기타,1209150864,해당없음,해당없음,1.26
22,음료식품,8301,제과점,1058531033,해당없음,해당없음,1.11
23,의류,4201,정장,963895796,해당없음,해당없음,1.01
24,학원,5199,기타 교육기관,832674736,해당없음,해당없음,0.87
25,연료판매점,3309,쌍용S-OIL,816072301,해당없음,해당없음,0.85
26,일반휴게음식,8004,일식 회집,814840440,해당없음,해당없음,0.85
27,보건위생,7105,안경,750246065,해당없음,해당없음,0.78
28,레져용품,2002,스포츠 레져용품,731315368,해당없음,해당없음,0.76
29,일반휴게음식,8013,주점,662107746,해당없음,해당없음,0.69
30,의원,7021,한의원,638254635,해당없음,해당없음,0.67
31,병원,7010,병원,608717016,해당없음,해당없음,0.64
32,가구,3001,일반가구,593843620,해당없음,해당없음,0.62
33,자동차정비 유지,6110,자동차정비,561047104,해당없음,해당없음,0.59
34,의류,4203,아동의류,540702805,해당없음,해당없음,0.56
35,전기제품,3101,가전제품,533285555,해당없음,해당없음,0.56
36,연료판매점,3301,주유소,504789936,해당없음,해당없음,0.53
37,레저업소,2104,스크린골프,471806024,해당없음,해당없음,0.49
38,보건위생,7110,화장품,423086141,해당없음,해당없음,0.44
39,신변잡화,4499,기타잡화,391546677,해당없음,해당없음,0.41
40,보건위생,7103,피부미용실,374183741,해당없음,해당없음,0.39
41,용역 서비스,9130,사무서비스,373625488,해당없음,해당없음,0.39
42,레저업소,2199,기타레져업소,342684391,해당없음,해당없음,0.36
43,연료판매점,3308,현대정유(오일뱅크),307192849,해당없음,해당없음,0.32
44,수리서비스,9210,세탁소,289906253,해당없음,해당없음,0.3
45,문화.취미,2240,애완동물,289479214,해당없음,해당없음,0.3
46,기타의료기관,7050,동물병원,275571388,해당없음,해당없음,0.29
47,자동차정비 유지,6101,자동차시트 타이어,270994499,해당없음,해당없음,0.28
48,문화.취미,2230,화원,252512097,해당없음,해당없음,0.26
49,보건위생,7199,기타대인서비스,251553529,해당없음,해당없음,0.26
50,서적문구,5001,일반서적,249596548,해당없음,해당없음,0.26
51,의류,4208,스포츠의류,248903106,해당없음,해당없음,0.26
52,학원,5191,독서실,224537955,해당없음,해당없음,0.23
53,서적문구,5030,문구용품,220283377,해당없음,해당없음,0.23
54,직물,4303,침구 수예점,208296764,해당없음,해당없음,0.22
55,레저업소,2102,골프연습장,200368592,해당없음,해당없음,0.21
56,병원,7015,치과병원,198766843,해당없음,해당없음,0.21
57,학원,5102,기능학원,195732540,해당없음,해당없음,0.2
58,신변잡화,4412,액세서리,157701899,해당없음,해당없음,0.16
59,병원,7001,종합병원,149922921,해당없음,해당없음,0.16
60,숙박업,1020,여관/기타숙박업,143311655,해당없음,해당없음,0.15
61,기타의료기관,7099,기타의료기관 및 기타의료기기,139598250,해당없음,해당없음,0.15
62,회원제형태,9301,레져업소,138113251,해당없음,해당없음,0.14
63,의류,4205,내의판매,133165340,해당없음,해당없음,0.14
64,자동차정비 유지,6102,자동차부품,131897872,해당없음,해당없음,0.14
65,레져용품,2001,골프용품 전문점,129392568,해당없음,해당없음,0.14
66,레저업소,2121,당 구 장,121938384,해당없음,해당없음,0.13
